Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
39810.71705534973,0.05336599208391497,-61.06975114620464,-97.25693236880186
41686.93834703357,0.05526871763447517,-62.98991046759757,-98.97178862358317
43651.58322401661,0.05617127590415223,-64.09510124321322,-108.4271745029022
45708.81896148752,0.06059553095895261,-71.76296383643887,-123.8729944622457
47863.00923226388,0.05832682220260803,-80.37113804020804,170.9829775718677
50118.72336272725,0.05807696701023422,-68.1784147013322,123.9793014397453
52480.74602497728,0.06618484645980709,-68.87029504952271,120.6553009215546
54954.08738576245,0.06896284783046937,-63.84383816830434,104.9570114053302
57543.99373371572,0.07251775359175523,-60.20842463122217,101.1195275650092
60255.95860743581,0.07515890388670915,-59.11533136381708,101.9724745773661
63095.73444801933,0.07462519761735434,-57.49612371623468,99.06484409087807
66069.34480075965,0.08055503702819308,-56.5325288360698,102.2803219499806
69183.09709189367,0.08338480130699,-55.31912108585341,100.8854442066595
72443.59600749903,0.08719094463406454,-54.07941962804816,98.03139305269487
75857.75750291844,0.08921300130419516,-52.91540614413793,96.52003408041998
79432.82347242818,0.07992784108963451,-51.95275017792699,98.83506676562565
83176.37711026713,0.08820577125820876,-51.41277006768456,100.0340931311848
87096.35899560805,0.09511109611410697,-50.26762200732419,97.30758355635204
91201.08393559101,0.09776168294478757,-50.13689511680349,99.34669187573718
95499.25860214364,0.09760083967585709,-48.76532472383326,99.71635620278843
100000,0.1061163426406679,-48.33608872433044,96.62213209085178
104712.85480509,0.1161114999211243,-47.68014666104254,99.79342789715029
109647.8196143186,0.1181714097365584,-47.27297754925844,99.6663556088978
114815.3621496883,0.1237400853349377,-46.70582431350397,99.00289073377706
120226.4434617413,0.1261172350580471,-46.08665038019987,100.2996500682635
125892.5411794167,0.126773464792087,-45.58451436362677,100.7554261181563
131825.6738556407,0.1291110393834907,-44.77341957133092,101.2393171382525
138038.4264602886,0.1341031358243479,-44.3988651551897,100.3187940001348
144543.9770745928,0.1413566024374408,-43.89220233538502,100.8719434050782
