Time (s),Channel 1 (V)
-0.04125,-0.04364915945660649
-0.04,-0.04465516225645758
-0.03875,-0.0396251482572021
-0.0375,-0.03794847692411694
-0.03625,-0.03828381119073397
-0.035,-0.03928981399058507
-0.03375,-0.04096648532367023
-0.0325,-0.04264315665675539
-0.03125,-0.04264315665675539
-0.03,-0.04331382518998945
-0.02875,-0.04063115105705319
-0.0275,-0.03996048252381913
-0.02625,-0.04063115105705319
-0.025,-0.04197248812352133
-0.02375,-0.04297849092337242
-0.0225,-0.04130181959028726
-0.02125,-0.04029581679043617
-0.02,-0.03895447972396803
-0.01875,-0.0376131426574999
-0.0175,-0.0376131426574999
-0.01625,-0.03996048252381913
-0.015,-0.04130181959028726
-0.01375,-0.04197248812352133
-0.0125,-0.04130181959028726
-0.01125,-0.04130181959028726
-0.01,-0.04163715385690429
-0.008750000000000001,-0.04063115105705319
-0.0075,-0.04029581679043617
-0.00625,-0.04197248812352133
-0.005,-0.04096648532367023
-0.00375,-0.04029581679043617
-0.0025,-0.0396251482572021
-0.00125,-0.04096648532367023
0,-0.04264315665675539
0.00125,-0.04163715385690429
0.0025,-0.04297849092337242
0.00375,-0.04297849092337242
0.005,-0.04197248812352133
0.00625,-0.04163715385690429
0.0075,-0.04230782239013836
0.008750000000000001,-0.04331382518998945
0.01,-0.04297849092337242
0.01125,-0.03996048252381913
0.0125,-0.04063115105705319
0.01375,-0.03996048252381913
0.015,-0.03996048252381913
0.01625,-0.04197248812352133
0.0175,-0.04297849092337242
0.01875,-0.04364915945660649
0.02,-0.04297849092337242
0.02125,-0.0396251482572021
0.0225,-0.03895447972396803
0.02375,-0.0396251482572021
0.025,-0.04029581679043617
0.02625,-0.04096648532367023
0.0275,-0.04029581679043617
0.02875,-0.03928981399058507
0.03,-0.0376131426574999
0.03125,-0.03493046852456365
0.0325,-0.0376131426574999
0.03375,-0.0396251482572021
0.035,-0.04096648532367023
0.03625,-0.04063115105705319
0.0375,-0.03996048252381913
0.03875,-0.04063115105705319
0.04,-0.04063115105705319
0.04125,-0.03828381119073397
0.0425,-0.03996048252381913
0.04375,-0.03928981399058507
0.045,-0.03828381119073397
0.04625,-0.0376131426574999
0.0475,-0.0376131426574999
0.04875,-0.038619145457351
0.05,-0.03996048252381913
0.05125,-0.03895447972396803
0.0525,-0.0396251482572021
0.05375,-0.0396251482572021
0.055,-0.03895447972396803
0.05625,-0.03895447972396803
0.0575,-0.04029581679043617
0.05875,-0.04197248812352133
0.06,-0.04197248812352133
0.06125,-0.03794847692411694
0.0625,-0.03895447972396803
0.06375,-0.0396251482572021
0.065,-0.04029581679043617
0.06625,-0.04264315665675539
0.0675,-0.04398449372322352
0.06875000000000001,-0.04465516225645758
0.07000000000000001,-0.04364915945660649
0.07124999999999999,-0.0396251482572021
0.0725,-0.04063115105705319
0.07375,-0.04096648532367023
0.075,-0.04197248812352133
0.07625,-0.04297849092337242
0.0775,-0.04331382518998945
0.07875,-0.04163715385690429
0.08,-0.04063115105705319
0.08125,-0.03996048252381913
0.0825,-0.03928981399058507
0.08375,-0.04264315665675539
0.08500000000000001,-0.04431982798984056
0.08624999999999999,-0.04431982798984056
0.08749999999999999,-0.04364915945660649
0.08875,-0.04331382518998945
0.09,-0.04431982798984056
0.09125,-0.04197248812352133
0.0925,-0.04431982798984056
0.09375,-0.04398449372322352
0.095,-0.04331382518998945
0.09625,-0.04264315665675539
0.0975,-0.04130181959028726
0.09875,-0.04230782239013836
0.1,-0.04499049652307462
0.10125,-0.04599649932292572
0.1025,-0.04297849092337242
0.10375,-0.04465516225645758
0.105,-0.04465516225645758
0.10625,-0.04499049652307462
0.1075,-0.04700250212277681
0.10875,-0.04800850492262791
0.11,-0.04834383918924494
0.11125,-0.04599649932292572
0.1125,-0.04297849092337242
0.11375,-0.04331382518998945
0.115,-0.04398449372322352
0.11625,-0.04733783638939384
0.1175,-0.04968517625571307
0.11875,-0.0510265133221812
0.12,-0.05136184758879823
0.12125,-0.04968517625571307
0.1225,-0.04733783638939384
0.12375,-0.04968517625571307
0.125,-0.05035584478894713
0.12625,-0.0510265133221812
0.1275,-0.05035584478894713
0.12875,-0.04968517625571307
0.13,-0.04834383918924494
0.13125,-0.04834383918924494
0.1325,-0.04901450772247901
0.13375,-0.04901450772247901
0.135,-0.0520325161220323
0.13625,-0.05236785038864933
0.1375,-0.0530385189218834
0.13875,-0.05270318465526636
0.14,-0.05337385318850043
0.14125,-0.05437985598835152
0.1425,-0.05236785038864933
0.14375,-0.0530385189218834
0.145,-0.05236785038864933
0.14625,-0.05035584478894713
0.1475,-0.05002051052233011
0.14875,-0.05136184758879823
0.15,-0.0530385189218834
0.15125,-0.05471519025496856
0.1525,-0.05270318465526636
0.15375,-0.0510265133221812
0.155,-0.05136184758879823
0.15625,-0.05136184758879823
0.1575,-0.0520325161220323
0.15875,-0.05370918745511746
0.16,-0.0540445217217345
0.16125,-0.05002051052233011
0.1625,-0.04733783638939384
0.16375,-0.04733783638939384
0.165,-0.04700250212277681
0.16625,-0.04867917345586197
0.1675,-0.05002051052233011
0.16875,-0.05002051052233011
0.17,-0.04800850492262791
0.17125,-0.04465516225645758
0.1725,-0.04499049652307462
0.17375,-0.04599649932292572
0.175,-0.04666716785615978
0.17625,-0.04733783638939384
0.1775,-0.04733783638939384
0.17875,-0.04532583078969165
0.18,-0.04331382518998945
0.18125,-0.04130181959028726
0.1825,-0.04130181959028726
0.18375,-0.04465516225645758
0.185,-0.04666716785615978
0.18625,-0.04633183358954275
0.1875,-0.04599649932292572
0.18875,-0.04532583078969165
0.19,-0.04465516225645758
0.19125,-0.04197248812352133
0.1925,-0.04331382518998945
0.19375,-0.04264315665675539
0.195,-0.04197248812352133
0.19625,-0.03996048252381913
0.1975,-0.04063115105705319
0.19875,-0.04130181959028726
0.2,-0.04230782239013836
0.20125,-0.04063115105705319
0.2025,-0.04096648532367023
0.20375,-0.04063115105705319
0.205,-0.03996048252381913
0.20625,-0.03996048252381913
0.2075,-0.04130181959028726
0.20875,-0.04230782239013836
0.21,-0.04163715385690429
0.21125,-0.0376131426574999
0.2125,-0.03727780839088288
0.21375,-0.03694247412426584
0.215,-0.03794847692411694
0.21625,-0.0396251482572021
0.2175,-0.04096648532367023
0.21875,-0.04163715385690429
0.22,-0.04029581679043617
0.22125,-0.03694247412426584
0.2225,-0.03794847692411694
0.22375,-0.03895447972396803
0.225,-0.0396251482572021
0.22625,-0.04029581679043617
0.2275,-0.03996048252381913
0.22875,-0.03928981399058507
0.23,-0.03694247412426584
0.23125,-0.03425979999132958
0.2325,-0.0376131426574999
0.23375,-0.0396251482572021
0.235,-0.03996048252381913
0.23625,-0.03996048252381913
0.2375,-0.03996048252381913
0.23875,-0.0396251482572021
0.24,-0.03996048252381913
0.24125,-0.03996048252381913
0.2425,-0.0376131426574999
0.24375,-0.03895447972396803
0.245,-0.03794847692411694
0.24625,-0.03694247412426584
0.2475,-0.0376131426574999
0.24875,-0.03928981399058507
0.25,-0.04096648532367023
0.25125,-0.04163715385690429
0.2525,-0.03895447972396803
0.25375,-0.04029581679043617
0.255,-0.03895447972396803
0.25625,-0.0396251482572021
0.2575,-0.04029581679043617
0.25875,-0.04197248812352133
0.26,-0.04230782239013836
0.26125,-0.04130181959028726
0.2625,-0.03727780839088288
0.26375,-0.03828381119073397
0.265,-0.038619145457351
0.26625,-0.04063115105705319
0.2675,-0.04230782239013836
0.26875,-0.04197248812352133
0.27,-0.04130181959028726
0.27125,-0.04029581679043617
0.2725,-0.03794847692411694
0.27375,-0.04029581679043617
0.275,-0.04063115105705319
0.27625,-0.04163715385690429
0.2775,-0.04130181959028726
0.27875,-0.03996048252381913
0.28,-0.0396251482572021
0.28125,-0.04029581679043617
0.2825,-0.03996048252381913
0.28375,-0.04130181959028726
0.285,-0.04398449372322352
0.28625,-0.04398449372322352
0.2875,-0.04230782239013836
0.28875,-0.04163715385690429
0.29,-0.04230782239013836
0.29125,-0.04331382518998945
0.2925,-0.04096648532367023
0.29375,-0.0396251482572021
0.295,-0.0396251482572021
0.29625,-0.03895447972396803
0.2975,-0.03895447972396803
0.29875,-0.03996048252381913
0.3,-0.04163715385690429
0.30125,-0.04197248812352133
0.3025,-0.04029581679043617
0.30375,-0.04096648532367023
0.305,-0.04029581679043617
0.30625,-0.03996048252381913
0.3075,-0.04130181959028726
0.30875,-0.04197248812352133
0.31,-0.04163715385690429
0.31125,-0.03794847692411694
0.3125,-0.03694247412426584
0.31375,-0.03727780839088288
0.315,-0.03727780839088288
0.31625,-0.038619145457351
0.3175,-0.04029581679043617
0.31875,-0.04096648532367023
0.32,-0.04029581679043617
0.32125,-0.03828381119073397
0.3225,-0.03627180559103177
0.32375,-0.038619145457351
0.325,-0.0396251482572021
0.32625,-0.03996048252381913
0.3275,-0.04029581679043617
0.32875,-0.0396251482572021
0.33,-0.03828381119073397
0.33125,-0.03593647132441474
0.3325,-0.03660713985764881
0.33375,-0.0396251482572021
0.335,-0.04063115105705319
0.33625,-0.03996048252381913
0.3375,-0.03928981399058507
0.33875,-0.03895447972396803
0.34,-0.0396251482572021
0.34125,-0.03794847692411694
0.3425,-0.03660713985764881
0.34375,-0.03694247412426584
0.345,-0.03660713985764881
0.34625,-0.03627180559103177
0.3475,-0.0356011370577977
0.34875,-0.03627180559103177
0.35,-0.0376131426574999
0.35125,-0.0376131426574999
0.3525,-0.03493046852456365
0.35375,-0.03660713985764881
0.355,-0.03593647132441474
0.35625,-0.03627180559103177
0.3575,-0.03660713985764881
0.35875,-0.0376131426574999
0.36,-0.03794847692411694
0.36125,-0.03425979999132958
0.3625,-0.03325379719147849
0.36375,-0.03425979999132958
0.365,-0.0356011370577977
0.36625,-0.03727780839088288
0.3675,-0.0396251482572021
0.36875,-0.03928981399058507
0.37,-0.03928981399058507
0.37125,-0.03660713985764881
0.3725,-0.0356011370577977
0.37375,-0.03794847692411694
